title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
"AdMáy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Hàng Chính Hãng",2990000,Yes,No,407,4697664984478,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-hang-chinh-hang-p21464946.html?src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/89/1f/90/e1bb55a8b8f67780fbb53fae09e0812d.jpg,No,,No,No,19
Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,2150000,Yes,No,146,2480990721662,https://tiki.vn/dien-thoai-realme-c11-2gb-32gb-hang-chinh-hang-p58065346.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/c5/a1/cd/b9f3e343440b02c54f95a9034990e0d5.jpg,No,,No,No,20
Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,29500000,Yes,Yes,460,4421079290455,https://tiki.vn/dien-thoai-iphone-12-pro-max-128gb-hang-chinh-hang-p70771651.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,13
Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng,3685000,No,No,9,4745871976639,https://tiki.vn/dien-thoai-vsmart-live-4-hang-chinh-hang-p63839533.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/cd/92/da/3360d9dcb541dd5d2aaa59ae0ad6b1c5.jpg,No,,No,No,23
AdĐiện Thoại Samsung Galaxy A52 (8GB/128GB) - Hàng Chính Hãng,8790000,Yes,No,0,7387666772052,https://tiki.vn/dien-thoai-samsung-galaxy-a52-8gb-128gb-hang-chinh-hang-p83368040.html?src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/c3/0c/fa/94ce691c46a9f8475e98a97b160043d2.jpg,No,,Yes,No,5
Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng,2390000,Yes,No,205,8020626062208,https://tiki.vn/dien-thoai-oppo-a12-3gb-32gb-hang-chinh-hang-xanh-duong-p53827214.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/54/1b/6a/e9dc08e1a4e6eb6439442b2df5150aeb.jpg,Yes,,No,No,20
Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng,4790000,Yes,No,1796,9643084252296,https://tiki.vn/dien-thoai-samsung-galaxy-m31-6gb-128gb-hang-chinh-hang-p58259141.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/50/86/f1/8c08d595e64661d3d0d9438ca2194de3.jpg,Yes,,Yes,No,26
Điện Thoại iPhone 12 Pro 128GB - Hàng Chính Hãng,26990000,Yes,Yes,199,7862416917555,https://tiki.vn/dien-thoai-iphone-12-pro-128gb-hang-chinh-hang-p71198345.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,13
AdMáy Tính Bảng Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB) - Hàng Chính Hãng,14450000,Yes,No,50,3406905857681,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s7-wifi-t870-6gb-128gb-hang-chinh-hang-p83492084.html?src=ss-ads,5,https://salt.tikicdn.com/cache/280x280/ts/product/23/fb/2b/111e4d1c36ec7094cbfb9ea5e0334992.jpg,No,,Yes,No,4
Điện Thoại Samsung Galaxy M11 (3GB/32GB) - Hàng Chính Hãng,2750000,Yes,No,1036,7819888909403,https://tiki.vn/dien-thoai-samsung-galaxy-m11-3gb-32gb-hang-chinh-hang-p52717588.html?spid=52717590&src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/9a/d8/a2/ee6fd1f6a847e1d234c46eb5666cb129.jpg,Yes,,No,No,25
Điện Thoại Samsung Galaxy A51 (6GB/128GB) - Hàng Chính Hãng,5690000,Yes,No,317,3256596765237,https://tiki.vn/dien-thoai-samsung-galaxy-a51-128gb-6gb-hang-chinh-hang-p45339109.html?spid=45339111&src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/8b/0f/1c/5869b6fd18e751f3f793b35e3a0dc0fd.jpg,No,,Yes,No,29
Điện Thoại Xiaomi Redmi Note 10 (4GB/64GB) - Hàng Chính Hãng,4050000,Yes,No,3,1833626471109,https://tiki.vn/dien-thoai-xiaomi-redmi-note-10-4gb-64gb-hang-chinh-hang-p85042408.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/08/52/3b/f1654b16b82e9a6a9d31a900489a49db.jpg,No,,No,No,14
AdMáy tính bảng Vankyo MatrixPad S20 - Hàng Chính Hãng,3490000,No,No,7,1844276039857,https://tiki.vn/may-tinh-bang-vankyo-matrixpad-s20-hang-chinh-hang-p72042076.html?spid=72042077&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/83/1d/47/b6ee30f0007f9d8813b8abaa0f101dd8.jpg,No,,No,No,34
 Điện thoại Xiaomi Poco X3 Pro 6GB l 128GB - Hàng chính hãng,5790000,Yes,No,29,1919298990071,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-6gb-l-128gb-hang-chinh-hang-p88100602.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/ac/eb/0e/e44e0241361f7c275bd55e4d9dee77fd.jpg,No,,Yes,No,17
Điện Thoại iPhone 11 64GB  - Hàng  Chính Hãng,16090000,Yes,No,639,5679549432792,https://tiki.vn/dien-thoai-iphone-11-64gb-hang-chinh-hang-p32033717.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/84/3d/55/7bb112f36cd07f712d461e386e74e3d5.jpg,No,,Yes,No,27
Điện Thoại Vsmart Joy 4 - Hàng Chính Hãng,2790000,Yes,No,1512,8122405513717,https://tiki.vn/dien-thoai-vsmart-joy-4-hang-chinh-hang-p67910637.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/52/db/ed/250ed1f223e0711ac9f3ea93ade7074d.jpg,No,,No,No,15
AdMáy tính bảng Kindle Fire HD8 Plus 2020 - Ram 3Gb - 32Gb - Hàng nhập khẩu,2550000,No,No,6,8128713384025,https://tiki.vn/may-tinh-bang-kindle-fire-hd8-plus-2020-ram-3gb-32gb-hang-nhap-khau-p67087279.html?spid=67243939&src=ss-ads,5,https://salt.tikicdn.com/cache/280x280/ts/product/63/77/64/da9b9ea9ff163c50693c85751ee4ec92.jpg,No,,No,No,20
Điện thoại Xiaomi POCO X3 PRO - Hàng Chính Hãng,5590000,Yes,No,18,7412180244997,https://tiki.vn/dien-thoai-xiaomi-poco-x3-pro-hang-chinh-hang-p87645053.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/db/a7/f9/78f0124d5467de64117759acf70c3f26.jpg,No,,No,No,20
Điện Thoại iPhone 12 Pro Max 256GB - Hàng Chính Hãng,31990000,Yes,Yes,412,2572996404776,https://tiki.vn/dien-thoai-iphone-12-pro-max-256gb-hang-chinh-hang-p71197117.html?src=ss-organic,5,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,16
Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng,346000,No,No,3,8412217056145,https://tiki.vn/dien-thoai-nokia-105-dual-sim-2019-hang-chinh-hang-p25730627.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/a5/1b/4b/925051cd75d938700de042def6dd3428.jpg,No,,No,No,4
"AdMáy Tính Bảng Samsung Galaxy Tab A8 8"" T295 - Đã Kích Hoạt Bảo Hành - Hàng Chính Hãng",2990000,Yes,Yes,16,2148779508568,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-a8-8-t295-2019-da-kich-hoat-bao-hanh-hang-chinh-hang-p23258088.html?spid=34114028&src=ss-ads,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,No,No,19
Điện Thoại Nokia 105 Single Sim - Hàng Chính Hãng,333000,No,No,5,1449840197082,https://tiki.vn/dien-thoai-nokia-105-single-sim-2019-hang-chinh-hang-p34942696.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/a9/2c/c6/40228339d1640d0db7af7f4be95d4bde.jpg,No,,No,No,8
